index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,37.2890256996,127.1073654207,0.000,0.000,1,SLOPE,2.00
1,37.2890271998,127.1073610414,-0.388,0.167,1,SLOPE,2.00
2,37.2890288999,127.1073561796,-0.818,0.356,1,SLOPE,2.00
3,37.2890307998,127.1073509295,-1.283,0.568,1,SLOPE,2.00
4,37.2890338000,127.1073413589,-2.131,0.902,1,SLOPE,2.00
5,37.2890363666,127.1073337324,-2.806,1.187,1,SLOPE,2.00
6,37.2890383665,127.1073259705,-3.494,1.410,1,SLOPE,2.00
7,37.2890413000,127.1073154000,-4.430,1.737,1,SLOPE,2.00
8,37.2890437000,127.1073060295,-5.260,2.004,1,SLOPE,2.00
9,37.2890459331,127.1072965942,-6.096,2.252,1,SLOPE,2.00
10,37.2890479997,127.1072871265,-6.934,2.482,1,SLOPE,2.00
11,37.2890504330,127.1072764531,-7.879,2.753,1,SLOPE,2.00
12,37.2890520661,127.1072689942,-8.540,2.935,1,SLOPE,2.00
13,37.2890530000,127.1072633000,-9.044,3.039,1,SLOPE,2.00
