index,x_m,y_m,yaw,direction,drive_level
120,-6.319217,-17.027809,-1.900983713,1,1.0
121,-6.388399,-17.229662,-1.801641743,1,1.0
122,-6.441688,-17.456390,-1.842950228,1,1.0
123,-6.495233,-17.648252,-1.790413052,1,1.0
124,-6.540838,-17.852560,-1.900983893,1,1.0
125,-6.617704,-18.076832,-1.790413052,1,1.0
126,-6.663309,-18.281141,-1.676875202,1,1.0
127,-6.685323,-18.487885,-1.634913747,1,1.0
128,-6.699396,-18.707078,-1.676889479,1,1.0
129,-6.721414,-18.913836,-1.634876050,1,1.0
130,-6.735479,-19.133021,-1.634916439,1,1.0
131,-6.749553,-19.352213,-1.603235893,1,1.0
132,-6.755938,-19.548973,-1.522180066,1,1.0
133,-6.744924,-19.775341,-1.500347532,1,1.0
134,-6.730871,-19.974480,-1.474263250,1,1.0
135,-6.712032,-20.169038,-1.517938179,1,1.0
136,-6.701116,-20.375363,-1.492155128,1,1.0
137,-6.684679,-20.583942,-1.379826505,1,1.0
138,-6.644544,-20.791545,-1.346986426,1,1.0
139,-6.595811,-21.005637,-1.284104542,1,1.0
140,-6.531540,-21.223643,-1.331627575,1,1.0
141,-6.482723,-21.423850,-1.347033575,1,1.0
142,-6.434000,-21.637948,-1.248527755,1,1.0
143,-6.361695,-21.854487,-1.179880483,1,1.0
144,-6.281692,-22.048610,-1.168259374,1,1.0
145,-6.193740,-22.255174,-1.091794306,1,1.0
146,-6.098113,-22.439304,-1.179888058,1,1.0
147,-6.018115,-22.633419,-1.168315059,1,1.0
148,-5.930177,-22.839981,-1.168272625,1,1.0
149,-5.842235,-23.046530,-1.091790427,1,1.0
150,-5.746604,-23.230667,-1.002234913,1,1.0
151,-5.611497,-23.442121,-1.085801860,1,1.0
152,-5.507912,-23.638686,-1.080643268,1,1.0
153,-5.396382,-23.847706,-1.089446586,1,1.0
154,-5.286737,-24.057623,-1.101912300,1,1.0
155,-5.188922,-24.250717,-1.014876845,1,1.0
156,-5.060640,-24.457199,-0.889431061,1,1.0
157,-4.911330,-24.641322,-1.002234913,1,1.0
158,-4.792117,-24.827902,-1.002234913,1,1.0
159,-4.664960,-25.026914,-1.023242915,1,1.0
160,-4.537229,-25.236397,-0.977961686,1,1.0
161,-4.418584,-25.412514,-0.923823252,1,1.0
162,-4.275784,-25.601543,-0.886917264,1,1.0
163,-4.118753,-25.794196,-0.964528410,1,1.0
164,-3.990199,-25.979599,-1.002234913,1,1.0
165,-3.863036,-26.178620,-1.002234913,1,1.0
166,-3.735879,-26.377632,-1.002234913,1,1.0
167,-3.600767,-26.589094,-0.928416688,1,1.0
168,-3.450024,-26.790556,-1.002234913,1,1.0
