index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,37.2887168679,127.1073368942,0.000,0.000,1,NORMAL,2.00
1,37.2887192347,127.1073290385,-0.696,0.263,1,NORMAL,2.00
2,37.2887217015,127.1073208709,-1.419,0.538,1,NORMAL,2.00
3,37.2887233348,127.1073140560,-2.023,0.720,1,NORMAL,2.00
4,37.2887262683,127.1073050087,-2.824,1.046,1,NORMAL,2.00
5,37.2887300349,127.1072943822,-3.765,1.466,1,NORMAL,2.00
6,37.2887332339,127.1072858499,-4.521,1.822,1,NORMAL,2.00
7,37.2887397331,127.1072764942,-5.349,2.545,1,NORMAL,2.00
8,37.2887487330,127.1072710502,-5.831,3.547,1,NORMAL,2.00
9,37.2887590002,127.1072693650,-5.981,4.690,1,NORMAL,2.00
10,37.2887692673,127.1072711887,-5.819,5.833,1,NORMAL,2.00
11,37.2887791010,127.1072752181,-5.462,6.928,1,NORMAL,2.00
12,37.2887881344,127.1072799857,-5.040,7.933,1,NORMAL,2.00
13,37.2887967008,127.1072839401,-4.690,8.887,1,NORMAL,2.00
14,37.2888084681,127.1072897841,-4.172,10.197,1,NORMAL,2.00
15,37.2888180349,127.1072955091,-3.665,11.262,1,NORMAL,2.00
16,37.2888259680,127.1073034236,-2.964,12.145,1,NORMAL,2.00
17,37.2888318345,127.1073141353,-2.016,12.798,1,NORMAL,2.00
18,37.2888364345,127.1073235647,-1.181,13.310,1,NORMAL,2.00
19,37.2888383013,127.1073359353,-0.085,13.518,1,NORMAL,2.00
20,37.2888382016,127.1073493764,1.105,13.507,1,NORMAL,2.00
21,37.2888370354,127.1073617308,2.200,13.377,1,NORMAL,2.00
22,37.2888341355,127.1073734308,3.236,13.054,1,NORMAL,2.00
23,37.2888306681,127.1073874146,4.474,12.668,1,NORMAL,2.00
24,37.2888268342,127.1073997411,5.566,12.241,1,NORMAL,2.00
25,37.2888236673,127.1074119735,6.649,11.889,1,NORMAL,2.00
26,37.2888204005,127.1074235029,7.671,11.525,1,NORMAL,2.00
27,37.2888166669,127.1074351324,8.700,11.110,1,NORMAL,2.00
28,37.2888127000,127.1074478000,9.822,10.668,1,NORMAL,2.00
29,37.2888089667,127.1074607706,10.971,10.252,1,NORMAL,2.00
30,37.2888044335,127.1074735764,12.105,9.748,1,NORMAL,2.00
31,37.2888006671,127.1074853793,13.151,9.328,1,NORMAL,2.00
32,37.2887973674,127.1074980557,14.273,8.961,1,NORMAL,2.00
33,37.2887940677,127.1075097233,15.307,8.594,1,NORMAL,2.00
34,37.2887906675,127.1075225615,16.444,8.215,1,NORMAL,2.00
35,37.2887874007,127.1075346910,17.518,7.852,1,NORMAL,2.00
36,37.2887844671,127.1075462499,18.542,7.525,1,NORMAL,2.00
37,37.2887816001,127.1075572411,19.515,7.206,1,NORMAL,2.00
38,37.2887787000,127.1075690705,20.563,6.883,1,NORMAL,2.00
39,37.2887759000,127.1075807676,21.599,6.571,1,NORMAL,2.00
40,37.2887721999,127.1075930000,22.682,6.160,1,NORMAL,2.00
41,37.2887683000,127.1076053000,23.771,5.725,1,NORMAL,2.00
42,37.2887650671,127.1076178706,24.885,5.366,1,NORMAL,2.00
43,37.2887618341,127.1076292058,25.889,5.006,1,NORMAL,2.00
44,37.2887594676,127.1076362822,26.515,4.742,1,NORMAL,2.00
