index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,37.2886565000,127.1065831272,0.000,0.000,1,ACCEL,2.00
1,37.2886523335,127.1065809271,-0.195,-0.464,1,ACCEL,2.00
2,37.2886472000,127.1065792653,-0.342,-1.035,1,ACCEL,2.00
3,37.2886421007,127.1065777094,-0.480,-1.603,1,ACCEL,2.00
4,37.2886340341,127.1065749475,-0.724,-2.501,1,ACCEL,2.00
5,37.2886259675,127.1065729475,-0.902,-3.399,1,ACCEL,2.00
6,37.2886179345,127.1065707712,-1.094,-4.293,1,ACCEL,2.00
7,37.2886096679,127.1065714064,-1.038,-5.213,1,ACCEL,2.00
8,37.2885991673,127.1065749181,-0.727,-6.382,1,ACCEL,2.00
9,37.2885900002,127.1065792563,-0.343,-7.403,1,ACCEL,2.00
10,37.2885814999,127.1065847534,0.144,-8.349,1,ACCEL,2.00
11,37.2885728993,127.1065953709,1.084,-9.306,1,ACCEL,2.00
12,37.2885618312,127.1066145644,2.784,-10.538,1,ACCEL,2.00
13,37.2885564312,127.1066240644,3.626,-11.140,1,ACCEL,2.00
14,37.2885515312,127.1066339644,4.502,-11.685,1,ACCEL,2.00
15,37.2885471312,127.1066440644,5.397,-12.175,1,ACCEL,2.00
16,37.2885432312,127.1066547644,6.345,-12.609,1,ACCEL,2.00
17,37.2885396312,127.1066656644,7.310,-13.010,1,ACCEL,2.00
18,37.2885365312,127.1066760644,8.231,-13.355,1,ACCEL,2.00
19,37.2885335312,127.1066862644,9.134,-13.689,1,ACCEL,2.00
20,37.2885302312,127.1066971644,10.100,-14.056,1,ACCEL,2.00
21,37.2885270312,127.1067079644,11.056,-14.412,1,ACCEL,2.00
22,37.2885241312,127.1067192644,12.057,-14.735,1,ACCEL,2.00
23,37.2885205312,127.1067307644,13.076,-15.136,1,ACCEL,2.00
24,37.2885165312,127.1067416644,14.041,-15.581,1,ACCEL,2.00
25,37.2885128312,127.1067527644,15.024,-15.993,1,ACCEL,2.00
26,37.2885092312,127.1067641644,16.034,-16.394,1,ACCEL,2.00
27,37.2885056312,127.1067755644,17.043,-16.795,1,ACCEL,2.00
28,37.2885016312,127.1067868644,18.044,-17.240,1,ACCEL,2.00
29,37.2884977312,127.1067978644,19.018,-17.674,1,ACCEL,2.00
30,37.2884941312,127.1068084644,19.957,-18.075,1,ACCEL,2.00
31,37.2884904312,127.1068193644,20.922,-18.487,1,ACCEL,2.00
32,37.2884867312,127.1068308644,21.941,-18.899,1,ACCEL,2.00
33,37.2884833312,127.1068423644,22.959,-19.277,1,ACCEL,2.00
34,37.2884801312,127.1068533644,23.934,-19.633,1,ACCEL,2.00
35,37.2884767309,127.1068645997,24.929,-20.012,1,ACCEL,2.00
36,37.2884734309,127.1068751997,25.867,-20.379,1,ACCEL,2.00
37,37.2884705312,127.1068853644,26.768,-20.702,1,ACCEL,2.00
38,37.2884668312,127.1068961644,27.724,-21.114,1,ACCEL,2.00
39,37.2884632312,127.1069073644,28.716,-21.515,1,ACCEL,2.00
40,37.2884598312,127.1069183644,29.690,-21.893,1,ACCEL,2.00
41,37.2884561312,127.1069294644,30.673,-22.305,1,ACCEL,2.00
42,37.2884530646,127.1069373469,31.371,-22.646,1,ACCEL,2.00
43,37.2884492981,127.1069481440,32.328,-23.066,1,ACCEL,2.00
44,37.2884451648,127.1069605764,33.429,-23.526,1,ACCEL,2.00
45,37.2884407646,127.1069752469,34.728,-24.016,1,ACCEL,2.00
46,37.2884365646,127.1069892469,35.968,-24.483,1,ACCEL,2.00
47,37.2884318647,127.1070024469,37.137,-25.006,1,ACCEL,2.00
48,37.2884280646,127.1070159469,38.333,-25.429,1,ACCEL,2.00
49,37.2884243646,127.1070301469,39.590,-25.841,1,ACCEL,2.00
50,37.2884201646,127.1070443469,40.848,-26.309,1,ACCEL,2.00
51,37.2884157646,127.1070577469,42.035,-26.799,1,ACCEL,2.00
52,37.2884109646,127.1070709469,43.204,-27.333,1,ACCEL,2.00
53,37.2884062646,127.1070837764,44.340,-27.856,1,ACCEL,2.00
54,37.2884020647,127.1070971764,45.527,-28.324,1,ACCEL,2.00
55,37.2883976646,127.1071100764,46.669,-28.813,1,ACCEL,2.00
56,37.2883939649,127.1071208647,47.625,-29.225,1,ACCEL,2.00
57,37.2883897649,127.1071339647,48.785,-29.693,1,ACCEL,2.00
58,37.2883853313,127.1071472294,49.960,-30.186,1,ACCEL,2.00
59,37.2883805309,127.1071621058,51.277,-30.721,1,ACCEL,2.00
60,37.2883765309,127.1071750058,52.420,-31.166,1,ACCEL,2.00
61,37.2883723309,127.1071878058,53.553,-31.634,1,ACCEL,2.00
62,37.2883680310,127.1072028880,54.889,-32.112,1,ACCEL,2.00
63,37.2883642979,127.1072151233,55.973,-32.528,1,ACCEL,2.00
64,37.2883603979,127.1072269233,57.018,-32.962,1,ACCEL,2.00
65,37.2883568314,127.1072400615,58.181,-33.359,1,ACCEL,2.00
66,37.2883532648,127.1072524939,59.283,-33.756,1,ACCEL,2.00
67,37.2883494314,127.1072651262,60.401,-34.183,1,ACCEL,2.00
68,37.2883456648,127.1072784939,61.585,-34.602,1,ACCEL,2.00
69,37.2883423317,127.1072905557,62.653,-34.973,1,ACCEL,2.00
70,37.2883385985,127.1073040262,63.846,-35.389,1,ACCEL,2.00
71,37.2883352318,127.1073174615,65.036,-35.763,1,ACCEL,2.00
72,37.2883328652,127.1073299586,66.143,-36.027,1,ACCEL,2.00
73,37.2883320986,127.1073420528,67.214,-36.112,1,ACCEL,2.00
74,37.2883346325,127.1073551175,68.371,-35.830,1,ACCEL,2.00
75,37.2883390665,127.1073660058,69.336,-35.337,1,ACCEL,2.00
76,37.2883439000,127.1073768000,70.292,-34.798,1,ACCEL,2.00
77,37.2883500000,127.1073867000,71.168,-34.119,1,ACCEL,2.00
78,37.2883574000,127.1073957000,71.966,-33.296,1,ACCEL,2.00
79,37.2883656000,127.1074038000,72.683,-32.383,1,ACCEL,2.00
80,37.2883744000,127.1074105000,73.276,-31.403,1,ACCEL,2.00
81,37.2883834000,127.1074165000,73.808,-30.401,1,ACCEL,2.00
82,37.2883926000,127.1074213000,74.233,-29.377,1,ACCEL,2.00
83,37.2884021000,127.1074258000,74.631,-28.320,1,ACCEL,2.00
84,37.2884114000,127.1074308000,75.074,-27.284,1,ACCEL,2.00
85,37.2884208000,127.1074360000,75.535,-26.238,1,ACCEL,2.00
86,37.2884302000,127.1074409000,75.969,-25.192,1,ACCEL,2.00
87,37.2884395000,127.1074456000,76.385,-24.156,1,ACCEL,2.00
88,37.2884489000,127.1074500000,76.775,-23.110,1,ACCEL,2.00
89,37.2884585000,127.1074542000,77.147,-22.041,1,ACCEL,2.00
90,37.2884679000,127.1074589000,77.563,-20.995,1,ACCEL,2.00
91,37.2884769000,127.1074639000,78.006,-19.993,1,ACCEL,2.00
92,37.2884860000,127.1074680000,78.369,-18.980,1,ACCEL,2.00
93,37.2884947000,127.1074719000,78.714,-18.011,1,ACCEL,2.00
94,37.2885032000,127.1074756000,79.042,-17.065,1,ACCEL,2.00
95,37.2885114000,127.1074794000,79.378,-16.152,1,ACCEL,2.00
96,37.2885194000,127.1074837000,79.759,-15.262,1,ACCEL,2.00
97,37.2885278000,127.1074883000,80.167,-14.327,1,ACCEL,2.00
98,37.2885356000,127.1074924000,80.530,-13.459,1,ACCEL,2.00
99,37.2885425000,127.1074954000,80.795,-12.690,1,ACCEL,2.00
100,37.2885495000,127.1074991000,81.123,-11.911,1,ACCEL,2.00
101,37.2885561000,127.1075027000,81.442,-11.176,1,ACCEL,2.00
102,37.2885595000,127.1075044000,81.593,-10.798,1,ACCEL,2.00
103,37.2885634663,127.1075065660,81.784,-10.356,1,ACCEL,2.00
