index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,37.2887138999,127.1066134388,0.000,0.000,1,NORMAL,2.00
1,37.2887075330,127.1066096301,-0.337,-0.709,1,NORMAL,2.00
2,37.2887011998,127.1066071682,-0.555,-1.414,1,NORMAL,2.00
3,37.2886944667,127.1066037359,-0.859,-2.163,1,NORMAL,2.00
4,37.2886866001,127.1065996682,-1.220,-3.039,1,NORMAL,2.00
5,37.2886813008,127.1065970770,-1.449,-3.629,1,NORMAL,2.00
6,37.2886712669,127.1065911006,-1.978,-4.746,1,NORMAL,2.00
7,37.2886624333,127.1065864624,-2.389,-5.729,1,NORMAL,2.00
8,37.2886571669,127.1065831272,-2.685,-6.315,1,NORMAL,2.00
9,37.2886535338,127.1065812624,-2.850,-6.720,1,NORMAL,2.00
