index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,37.2890265665,127.1073676000,0.000,0.000,1,SLOPE,2.00
1,37.2890277999,127.1073648971,-0.239,0.137,1,SLOPE,2.00
2,37.2890300335,127.1073576045,-0.885,0.386,1,SLOPE,2.00
3,37.2890320001,127.1073490854,-1.640,0.605,1,SLOPE,2.00
4,37.2890338000,127.1073427000,-2.205,0.805,1,SLOPE,2.00
5,37.2890365000,127.1073339000,-2.985,1.106,1,SLOPE,2.00
6,37.2890389000,127.1073253000,-3.746,1.373,1,SLOPE,2.00
7,37.2890413000,127.1073154000,-4.623,1.640,1,SLOPE,2.00
8,37.2890437000,127.1073067000,-5.394,1.907,1,SLOPE,2.00
9,37.2890456664,127.1072967618,-6.274,2.126,1,SLOPE,2.00
10,37.2890482664,127.1072872942,-7.112,2.416,1,SLOPE,2.00
11,37.2890500329,127.1072781294,-7.924,2.612,1,SLOPE,2.00
12,37.2890517993,127.1072689942,-8.733,2.809,1,SLOPE,2.00
13,37.2890530000,127.1072633000,-9.237,2.943,1,SLOPE,2.00
