x,y,yaw,dir
0.0000,0.0000,-0.0000,1
0.1249,0.0000,0.0000,1
0.2349,0.0000,0.0000,1
0.3649,0.0000,0.0000,1
0.4949,0.0000,0.0000,1
0.6349,0.0000,0.0000,1
0.7849,0.0000,0.0000,1
0.9349,0.0000,0.0000,1
1.0849,0.0000,0.0000,1
1.2349,0.0000,0.0000,1
1.3849,0.0000,0.0000,1
1.5349,0.0000,0.0000,1
1.6849,0.0000,0.0000,1
1.8349,0.0000,0.0000,1
1.9849,0.0000,0.0000,1
2.1349,0.0000,0.0000,1
2.2849,0.0000,0.0000,1
2.4349,0.0000,0.0000,1
2.5849,0.0000,0.0000,1
2.7349,0.0000,0.0000,1
2.8849,0.0000,0.0000,1
3.0349,0.0000,0.0000,1
3.1849,0.0000,0.0000,1
3.3349,0.0000,0.0000,1
3.4849,0.0000,0.0000,1
3.6349,0.0000,0.0000,1
3.7849,0.0000,0.0000,1
3.9349,0.0000,0.0000,1
4.0849,0.0000,0.0000,1
4.2349,0.0000,0.0000,1
4.3849,0.0000,0.0000,1
4.5349,0.0000,0.0000,1
4.6849,0.0000,0.0000,1
4.8349,0.0000,0.0000,1
4.9849,0.0000,0.0000,1
5.1349,0.0000,0.0000,1
5.2849,0.0000,0.0000,1
5.4349,0.0000,0.0000,1
5.5849,0.0000,0.0000,1
5.7349,0.0000,0.0000,1
5.8849,0.0000,0.0000,1
6.0349,0.0000,0.0000,1
6.1849,0.0000,0.0000,1
6.3349,0.0000,0.0000,1
6.4849,0.0000,0.0000,1
6.6349,0.0000,0.0000,1
6.7849,0.0000,0.0000,1
6.9349,0.0000,0.0000,1
7.0849,0.0000,0.0000,1
7.2349,0.0000,0.0000,1
7.3849,0.0000,0.0000,1
7.5349,0.0000,0.0000,1
7.6793,0.0000,0.0000,1
7.7849,0.0000,0.0000,1
7.9349,0.0000,0.0000,1
8.0749,0.0000,0.0000,1
8.2249,0.0000,0.0000,1
8.3649,0.0000,0.0000,1
8.5217,0.0000,0.0000,1
8.6249,0.0000,0.0000,1
8.7549,0.0000,0.0000,1
8.9149,0.0000,0.0000,1
9.0249,0.0000,0.0000,1
9.1649,0.0000,0.0000,1
9.3093,0.0000,0.0000,1
9.4149,0.0000,0.0000,1
9.5549,0.0000,0.0000,1
9.7117,0.0000,0.0000,1
9.8149,0.0000,0.0000,1
9.9623,0.0000,0.0000,1
10.1049,0.0000,0.0000,1
10.2149,0.0000,0.0000,1
10.3649,0.0000,0.0000,1
10.5057,0.0000,0.0000,1
10.6149,0.0000,0.0000,1
10.7649,0.0000,0.0000,1
10.9149,0.0000,0.0000,1
11.0242,0.0000,0.0000,1
11.1611,0.0000,0.0000,1
11.2749,0.0000,0.0000,1
11.4169,0.0000,0.0000,1
11.5649,0.0000,0.0000,1
11.7149,0.0000,0.0000,1
11.8649,0.0000,0.0000,1
12.0149,0.0000,0.0000,1
12.1642,0.0000,0.0000,1
12.3049,0.0000,0.0000,1
12.4099,0.0000,0.0000,1
12.5149,0.0000,0.0000,1
12.6649,0.0000,0.0000,1
12.8087,0.0000,0.0000,1
12.9649,0.0000,0.0000,1
13.1149,0.0000,0.0000,1
13.2623,0.0000,0.0000,1
13.3649,0.0000,0.0000,1
13.5149,0.0000,0.0000,1
13.6549,0.0000,0.0000,1
13.7649,0.0000,0.0000,1
13.9149,0.0000,0.0000,1
14.0549,0.0000,0.0000,1
14.1949,0.0000,0.0000,1
14.3049,0.0000,0.0000,1
14.4149,0.0000,0.0000,1
14.5549,0.0000,0.0000,1
14.6617,0.0000,0.0000,1
14.8049,0.0000,0.0000,1
14.9123,0.0000,0.0000,1
15.0549,0.0000,0.0000,1
15.2049,0.0000,0.0000,1
15.3449,0.0000,0.0000,1
15.4549,0.0000,0.0000,1
15.5649,0.0000,0.0000,1
15.7099,0.0000,0.0000,1
15.8649,0.0000,0.0000,1
16.0049,0.0000,0.0000,1
16.1549,0.0000,0.0000,1
16.3049,0.0000,0.0000,1
16.4549,0.0000,0.0000,1
16.5575,0.0000,0.0000,1
16.6969,0.0000,0.0000,1
16.8049,0.0000,0.0000,1
16.9549,0.0000,0.0000,1
17.1049,0.0000,0.0000,1
17.2549,0.0000,0.0000,1
17.4017,0.0000,0.0000,1
17.5404,0.0000,0.0000,1
17.6904,0.0000,0.0000,1
17.8404,0.0000,0.0000,1
17.9904,0.0000,0.0000,1
18.1404,0.0000,0.0000,1
18.2904,0.0000,0.0000,1
18.4404,0.0000,0.0000,1
18.5904,0.0000,0.0000,1
18.7404,0.0000,0.0000,1
18.8904,0.0000,0.0000,1
19.0404,0.0000,0.0000,1
19.1904,0.0000,0.0000,1
19.3404,0.0000,0.0000,1
19.4904,0.0000,0.0000,1
19.6404,0.0000,0.0000,1
19.7904,0.0000,0.0000,1
19.9404,0.0000,0.0000,1
20.0904,0.0000,0.0000,1
20.2404,0.0000,0.0000,1
20.3904,0.0000,0.0000,1
20.5404,0.0000,0.0000,1
20.6904,-0.0008,-0.0186,1
20.8402,-0.0080,-0.0850,1
20.9395,-0.0390,-0.1602,1
21.0374,-0.0698,-0.2503,1
21.1331,-0.1276,-0.3412,1
21.2235,-0.1801,-0.4234,1
21.3051,-0.2508,-0.4842,1
21.3823,-0.3200,-0.5217,1
21.4678,-0.3755,-0.5317,1
21.5525,-0.4358,-0.5228,1
21.6380,-0.4878,-0.5131,1
21.7584,-0.5619,-0.5097,1
21.8893,-0.6351,-0.5097,1
22.0201,-0.7083,-0.5097,1
22.1512,-0.7815,-0.5097,1
22.2821,-0.8547,-0.5097,1
22.4068,-0.9279,-0.5097,1
22.5003,-0.9767,-0.5097,1
22.6313,-1.0498,-0.5097,1
22.7622,-1.1230,-0.5097,1
22.8931,-1.1962,-0.5097,1
23.0241,-1.2694,-0.5097,1
23.1114,-1.3268,-0.5097,1
23.2422,-1.3915,-0.5148,1
23.3290,-1.4413,-0.5413,1
23.4162,-1.5011,-0.6320,1
23.5025,-1.5746,-0.7649,1
23.5661,-1.6776,-0.8591,1
23.6229,-1.7856,-0.9471,1
23.6675,-1.8894,-1.0387,1
23.6945,-2.0539,-1.1575,1
23.7185,-2.1591,-1.2471,1
23.7279,-2.2733,-1.3384,1
23.7364,-2.3915,-1.4300,1
23.7045,-2.4915,-1.5142,1
23.6791,-2.5948,-1.5859,1
23.6403,-2.7016,-1.6340,1
23.6213,-2.8088,-1.6589,1
23.6106,-2.9208,-1.6644,1
23.5901,-3.0690,-1.6615,1
23.5798,-3.1797,-1.6563,1
23.5670,-3.3292,-1.6563,1
23.5537,-3.4586,-1.6528,1
23.5514,-3.5781,-1.6528,1
23.5332,-3.6877,-1.6528,1
23.5250,-3.7974,-1.6528,1
23.5128,-3.9469,-1.6528,1
23.5030,-4.0912,-1.6528,1
23.4882,-4.2459,-1.6528,1
23.4759,-4.3954,-1.6528,1
23.4736,-4.5349,-1.6528,1
23.4554,-4.6445,-1.6528,1
23.4531,-4.7840,-1.6528,1
23.4399,-4.8837,-1.6528,1
23.4326,-5.0332,-1.6528,1
23.4152,-5.1421,-1.6528,1
23.4063,-5.2425,-1.6512,1
23.4063,-5.3822,-1.6152,1
23.4010,-5.4853,-1.5678,1
23.4285,-5.6221,-1.5245,1
23.4557,-5.7419,-1.5282,1
23.4878,-5.8518,-1.6073,1
23.4707,-5.9616,-1.6801,1
23.4362,-6.0604,-1.7710,1
23.3826,-6.1472,-1.8588,1
23.3283,-6.2617,-1.9501,1
23.2687,-6.3477,-1.9959,1
23.1822,-6.4564,-2.0823,1
23.0983,-6.5409,-2.1685,1
23.0187,-6.6411,-2.2453,1
22.8935,-6.7572,-2.2950,1
22.8193,-6.8338,-2.3098,1
22.7099,-6.9660,-2.3237,1
22.6344,-7.0613,-2.3210,1
22.5366,-7.1790,-2.3175,1
22.4515,-7.2812,-2.3132,1
22.3701,-7.3617,-2.3133,1
22.2767,-7.4642,-2.3133,1
22.2011,-7.5459,-2.3133,1
22.1035,-7.6527,-2.3133,1
22.0083,-7.7570,-2.3133,1
21.9168,-7.8575,-2.3133,1
21.8054,-7.9780,-2.3133,1
21.7140,-8.0785,-2.3133,1
21.6026,-8.1991,-2.3133,1
21.5014,-8.3098,-2.3031,1
21.3752,-8.4747,-2.2434,1
21.3114,-8.5616,-2.2084,1
