segment_id,segment_type,point_index,latitude,longitude,x_m,y_m,direction,mode,drive_level,event,from_node,to_node
T_foword,mission_T_forward,40,37.2881907212,127.1068702666,-36.192550,-47.406380,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,41,37.2881890492,127.1068694432,-36.265479,-47.592507,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,42,37.2881873933,127.1068685676,-36.343022,-47.776839,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,43,37.2881857219,127.1068677405,-36.416279,-47.962905,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,44,37.2881840156,127.1068670392,-36.478389,-48.152845,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,45,37.2881822730,127.1068664965,-36.526452,-48.346835,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,46,37.2881805333,127.1068659384,-36.575883,-48.540496,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,47,37.2881788282,127.1068652334,-36.638317,-48.730306,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,48,37.2881771726,127.1068643643,-36.715295,-48.914607,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,49,37.2881755161,127.1068634937,-36.792398,-49.099011,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,50,37.2881738170,127.1068627638,-36.857041,-49.288153,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,51,37.2881720942,127.1068621260,-36.913527,-49.479934,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,52,37.2881703545,127.1068615750,-36.962325,-49.673603,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,53,37.2881686522,127.1068608555,-37.026047,-49.863099,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,54,37.2881670041,127.1068599566,-37.105666,-50.046567,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,55,37.2881653273,127.1068591464,-37.177414,-50.233226,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,56,37.2881636704,127.1068582746,-37.254632,-50.417669,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,57,37.2881619931,127.1068574703,-37.325863,-50.604393,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,58,37.2881602754,127.1068568152,-37.383886,-50.795601,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,59,37.2881585479,127.1068562031,-37.438093,-50.987911,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,60,37.2881568706,127.1068553990,-37.509311,-51.174624,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,61,37.2881552319,127.1068544786,-37.590820,-51.357051,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,62,37.2881535828,127.1068535827,-37.670171,-51.540631,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,63,37.2881519212,127.1068527324,-37.745475,-51.725594,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,64,37.2881502243,127.1068519950,-37.810784,-51.914493,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,65,37.2881485134,127.1068513069,-37.871729,-52.104950,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,66,37.2881468100,127.1068505910,-37.935130,-52.294577,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,67,37.2881451345,127.1068497795,-38.007002,-52.481090,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,68,37.2881434988,127.1068488458,-38.089695,-52.663179,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,69,37.2881418656,127.1068479058,-38.172945,-52.844983,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,70,37.2881401838,127.1068471144,-38.243038,-53.032202,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,71,37.2881384771,127.1068464099,-38.305436,-53.222188,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,72,37.2881367720,127.1068457016,-38.368161,-53.412004,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,73,37.2881350983,127.1068448817,-38.440776,-53.598320,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
T_foword,mission_T_forward,74,37.2881334284,127.1068440514,-38.514315,-53.784212,1,7,2,NONE,AAA_T_JUNCTION,AAA_T_JUNCTION
