0.000,0.000
0.314,0.188
0.628,0.377
0.942,0.565
1.256,0.752
1.569,0.939
1.882,1.124
2.195,1.309
2.507,1.492
2.818,1.674
3.129,1.854
3.439,2.032
3.748,2.209
4.056,2.383
4.363,2.555
4.669,2.724
4.974,2.891
5.277,3.054
5.580,3.215
5.881,3.373
6.180,3.527
6.478,3.677
6.775,3.825
7.069,3.968
7.362,4.107
7.654,4.243
7.943,4.374
8.230,4.501
8.516,4.623
8.799,4.741
9.080,4.854
9.359,4.962
9.635,5.066
9.909,5.164
10.181,5.258
10.450,5.346
10.717,5.429
10.980,5.507
11.242,5.579
11.500,5.645
11.756,5.706
12.008,5.762
12.258,5.811
12.505,5.856
12.748,5.894
12.989,5.926
13.226,5.953
13.460,5.973
13.691,5.988
13.918,5.997
14.142,6.000
14.363,5.997
14.579,5.988
14.793,5.973
15.002,5.953
15.208,5.926
15.410,5.894
15.609,5.856
15.803,5.811
15.994,5.762
16.180,5.706
16.363,5.645
16.542,5.579
16.716,5.507
16.887,5.429
17.053,5.346
17.215,5.258
17.373,5.164
17.526,5.066
17.675,4.962
17.820,4.854
17.961,4.741
18.097,4.623
18.228,4.501
18.355,4.374
18.478,4.243
18.596,4.107
18.709,3.968
18.818,3.825
18.922,3.677
19.021,3.527
19.116,3.373
19.206,3.215
19.291,3.054
19.372,2.891
19.447,2.724
19.518,2.555
19.584,2.383
19.646,2.209
19.702,2.032
19.754,1.854
19.800,1.674
19.842,1.492
19.879,1.309
19.911,1.124
19.938,0.939
19.961,0.752
19.978,0.565
19.990,0.377
19.998,0.188
20.000,0.000
19.998,-0.188
19.990,-0.377
19.978,-0.565
19.961,-0.752
19.938,-0.939
19.911,-1.124
19.879,-1.309
19.842,-1.492
19.800,-1.674
19.754,-1.854
19.702,-2.032
19.646,-2.209
19.584,-2.383
19.518,-2.555
19.447,-2.724
19.372,-2.891
19.291,-3.054
19.206,-3.215
19.116,-3.373
19.021,-3.527
18.922,-3.677
18.818,-3.825
18.709,-3.968
18.596,-4.107
18.478,-4.243
18.355,-4.374
18.228,-4.501
18.097,-4.623
17.961,-4.741
17.820,-4.854
17.675,-4.962
17.526,-5.066
17.373,-5.164
17.215,-5.258
17.053,-5.346
16.887,-5.429
16.716,-5.507
16.542,-5.579
16.363,-5.645
16.180,-5.706
15.994,-5.762
15.803,-5.811
15.609,-5.856
15.410,-5.894
15.208,-5.926
15.002,-5.953
14.793,-5.973
14.579,-5.988
14.363,-5.997
14.142,-6.000
13.918,-5.997
13.691,-5.988
13.460,-5.973
13.226,-5.953
12.989,-5.926
12.748,-5.894
12.505,-5.856
12.258,-5.811
12.008,-5.762
11.756,-5.706
11.500,-5.645
11.242,-5.579
10.980,-5.507
10.717,-5.429
10.450,-5.346
10.181,-5.258
9.909,-5.164
9.635,-5.066
9.359,-4.962
9.080,-4.854
8.799,-4.741
8.516,-4.623
8.230,-4.501
7.943,-4.374
7.654,-4.243
7.362,-4.107
7.069,-3.968
6.775,-3.825
6.478,-3.677
6.180,-3.527
5.881,-3.373
5.580,-3.215
5.277,-3.054
4.974,-2.891
4.669,-2.724
4.363,-2.555
4.056,-2.383
3.748,-2.209
3.439,-2.032
3.129,-1.854
2.818,-1.674
2.507,-1.492
2.195,-1.309
1.882,-1.124
1.569,-0.939
1.256,-0.752
0.942,-0.565
0.628,-0.377
0.314,-0.188
0.000,-0.000
-0.314,0.188
-0.628,0.377
-0.942,0.565
-1.256,0.752
-1.569,0.939
-1.882,1.124
-2.195,1.309
-2.507,1.492
-2.818,1.674
-3.129,1.854
-3.439,2.032
-3.748,2.209
-4.056,2.383
-4.363,2.555
-4.669,2.724
-4.974,2.891
-5.277,3.054
-5.580,3.215
-5.881,3.373
-6.180,3.527
-6.478,3.677
-6.775,3.825
-7.069,3.968
-7.362,4.107
-7.654,4.243
-7.943,4.374
-8.230,4.501
-8.516,4.623
-8.799,4.741
-9.080,4.854
-9.359,4.962
-9.635,5.066
-9.909,5.164
-10.181,5.258
-10.450,5.346
-10.717,5.429
-10.980,5.507
-11.242,5.579
-11.500,5.645
-11.756,5.706
-12.008,5.762
-12.258,5.811
-12.505,5.856
-12.748,5.894
-12.989,5.926
-13.226,5.953
-13.460,5.973
-13.691,5.988
-13.918,5.997
-14.142,6.000
-14.363,5.997
-14.579,5.988
-14.793,5.973
-15.002,5.953
-15.208,5.926
-15.410,5.894
-15.609,5.856
-15.803,5.811
-15.994,5.762
-16.180,5.706
-16.363,5.645
-16.542,5.579
-16.716,5.507
-16.887,5.429
-17.053,5.346
-17.215,5.258
-17.373,5.164
-17.526,5.066
-17.675,4.962
-17.820,4.854
-17.961,4.741
-18.097,4.623
-18.228,4.501
-18.355,4.374
-18.478,4.243
-18.596,4.107
-18.709,3.968
-18.818,3.825
-18.922,3.677
-19.021,3.527
-19.116,3.373
-19.206,3.215
-19.291,3.054
-19.372,2.891
-19.447,2.724
-19.518,2.555
-19.584,2.383
-19.646,2.209
-19.702,2.032
-19.754,1.854
-19.800,1.674
-19.842,1.492
-19.879,1.309
-19.911,1.124
-19.938,0.939
-19.961,0.752
-19.978,0.565
-19.990,0.377
-19.998,0.188
-20.000,0.000
-19.998,-0.188
-19.990,-0.377
-19.978,-0.565
-19.961,-0.752
-19.938,-0.939
-19.911,-1.124
-19.879,-1.309
-19.842,-1.492
-19.800,-1.674
-19.754,-1.854
-19.702,-2.032
-19.646,-2.209
-19.584,-2.383
-19.518,-2.555
-19.447,-2.724
-19.372,-2.891
-19.291,-3.054
-19.206,-3.215
-19.116,-3.373
-19.021,-3.527
-18.922,-3.677
-18.818,-3.825
-18.709,-3.968
-18.596,-4.107
-18.478,-4.243
-18.355,-4.374
-18.228,-4.501
-18.097,-4.623
-17.961,-4.741
-17.820,-4.854
-17.675,-4.962
-17.526,-5.066
-17.373,-5.164
-17.215,-5.258
-17.053,-5.346
-16.887,-5.429
-16.716,-5.507
-16.542,-5.579
-16.363,-5.645
-16.180,-5.706
-15.994,-5.762
-15.803,-5.811
-15.609,-5.856
-15.410,-5.894
-15.208,-5.926
-15.002,-5.953
-14.793,-5.973
-14.579,-5.988
-14.363,-5.997
-14.142,-6.000
-13.918,-5.997
-13.691,-5.988
-13.460,-5.973
-13.226,-5.953
-12.989,-5.926
-12.748,-5.894
-12.505,-5.856
-12.258,-5.811
-12.008,-5.762
-11.756,-5.706
-11.500,-5.645
-11.242,-5.579
-10.980,-5.507
-10.717,-5.429
-10.450,-5.346
-10.181,-5.258
-9.909,-5.164
-9.635,-5.066
-9.359,-4.962
-9.080,-4.854
-8.799,-4.741
-8.516,-4.623
-8.230,-4.501
-7.943,-4.374
-7.654,-4.243
-7.362,-4.107
-7.069,-3.968
-6.775,-3.825
-6.478,-3.677
-6.180,-3.527
-5.881,-3.373
-5.580,-3.215
-5.277,-3.054
-4.974,-2.891
-4.669,-2.724
-4.363,-2.555
-4.056,-2.383
-3.748,-2.209
-3.439,-2.032
-3.129,-1.854
-2.818,-1.674
-2.507,-1.492
-2.195,-1.309
-1.882,-1.124
-1.569,-0.939
-1.256,-0.752
-0.942,-0.565
-0.628,-0.377
-0.314,-0.188
-0.000,-0.000
